yyyy-mm-dd,pr_GFDL-ESM2M_rcp45(mm),tasmin_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),was_GFDL-ESM2M_rcp45(ms-1),huss_GFDL-ESM2M_rcp45(kgkg-1)
9/10/06,0.927603,288.757385,296.943146,1.600422,0.010423
9/11/06,0.59586,288.523407,296.393158,2.559365,0.009605
9/12/06,18.554897,286.8349,297.325409,3.590307,0.01073
9/13/06,1.690667,286.955688,299.135193,3.564191,0.008885
9/14/06,0.113598,278.53244,290.8685,1.329245,0.006096
9/15/06,23.279083,282.161987,294.659424,1.94098,0.008951
9/16/06,0.726477,287.638092,297.83902,4.51966,0.009822
9/17/06,0.509001,282.671722,295.62616,4.2579,0.007555
9/18/06,0.071109,282.623627,297.628021,2.875983,0.008042
9/19/06,0.562559,290.083984,303.55835,3.753034,0.011571
9/20/06,8.82626,292.904938,300.429413,3.759475,0.013837
9/21/06,14.724174,285.189301,300.971924,2.208601,0.011144
9/22/06,21.69128,282.18808,288.065582,1.635308,0.007785
9/23/06,0.287169,277.777161,289.208954,1.631327,0.0057
9/24/06,22.897598,278.726074,287.108246,3.471761,0.006481
9/25/06,14.074,283.899689,294.500336,1.166282,0.010836
9/26/06,16.474476,288.062134,296.665375,2.403144,0.01131
9/27/06,5.052919,287.797729,295.386444,2.921486,0.01136
9/28/06,0,283.781219,299.027405,0.431478,0.008766
9/29/06,9.094013,286.881073,296.789673,2.705604,0.009741
9/30/06,4.860261,283.005646,298.196503,4.562571,0.009317
10/1/06,0,274.965546,287.751556,2.058363,0.004567
10/2/06,9.53156,278.305298,291.902893,4.482563,0.005681
10/3/06,0.185554,279.158295,298.187775,5.519357,0.008204
10/4/06,0,273.474579,284.09494,4.57049,0.003728
10/5/06,6.716824,274.892487,283.321289,2.101385,0.004539
10/6/06,2.259189,275.66452,286.453735,3.653394,0.004504
10/7/06,1.567917,277.340851,285.096283,3.217207,0.004927
10/8/06,0,278.602264,290.317169,2.942771,0.006104
10/9/06,50.965141,283.282318,294.113434,2.814665,0.008179
10/10/06,2.489289,282.431641,293.497314,4.57163,0.007855
10/11/06,1.906503,278.442383,286.671509,2.616097,0.005697
10/12/06,0.764004,271.918488,281.5271,2.593115,0.004055
10/13/06,4.725678,278.22699,285.777191,0.547371,0.004588
10/14/06,3.727203,276.617493,285.395172,0.652483,0.004786
10/15/06,0,272.530426,285.318695,1.976719,0.004438
10/16/06,0.436009,278.570892,289.502289,4.655174,0.005233
10/17/06,27.444799,282.520386,287.601624,2.607932,0.008028
10/18/06,4.114586,277.105103,289.802032,5.333089,0.005224
10/19/06,0,271.234833,283.018311,2.46504,0.004057
10/20/06,2.073366,278.480042,286.532806,4.639848,0.00522
10/21/06,0.165971,276.300323,289.522766,2.878809,0.005483
10/22/06,0,277.321411,292.174927,3.438502,0.005789
10/23/06,0.394495,282.424103,290.625275,4.131629,0.006782
10/24/06,3.225819,279.477203,291.397827,3.332057,0.006689
10/25/06,0.531464,275.997955,285.593201,3.051708,0.004814
10/26/06,0.065725,271.227234,280.135376,1.435153,0.004306
10/27/06,0,272.265747,284.841431,3.737885,0.004357
10/28/06,0.840082,279.641357,289.139465,1.776629,0.005571
10/29/06,0,273.806,284.004944,2.940889,0.004078
10/30/06,0,272.189148,281.409698,0.856823,0.003315
10/31/06,0,270.008667,280.970398,1.486263,0.003525
11/1/06,1.014787,278.183258,283.444031,0.640983,0.004559
11/2/06,0,273.445862,283.583679,2.021638,0.004504
11/3/06,0,272.192261,284.467072,0.924273,0.004182
11/4/06,0,275.454987,282.997467,2.734589,0.004466
11/5/06,0,273.565979,281.590454,2.280725,0.004274
11/6/06,3.26358,276.96936,284.488892,1.502703,0.004744
11/7/06,1.601932,274.838226,282.545654,4.025406,0.004421
11/8/06,0.240195,274.286163,283.292603,2.106421,0.00445
11/9/06,0,275.397858,285.475098,3.57546,0.004989
11/10/06,0,279.732269,285.451874,4.199716,0.005555
11/11/06,0.28259,277.236816,284.658905,3.603472,0.00537
11/12/06,1.200833,277.305023,288.252991,6.056852,0.00482
11/13/06,2.41949,275.531921,283.230957,7.475302,0.003814
11/14/06,0.633756,271.674561,277.393463,3.471538,0.003207
11/15/06,0,269.959869,276.835236,1.804274,0.00279
11/16/06,0,269.86792,279.370239,1.544096,0.00277
11/17/06,0,270.327087,278.271912,1.94332,0.003308
11/18/06,0,270.734222,278.073822,3.877017,0.003234
11/19/06,7.409667,273.759735,277.297455,7.003071,0.003827
11/20/06,9.705324,273.168274,277.389069,7.764448,0.003897
11/21/06,1.675913,272.759064,277.242767,6.856751,0.003693
11/22/06,0,271.675934,275.271942,6.965683,0.003012
11/23/06,0.059765,269.968231,275.268524,5.573491,0.002797
11/24/06,0,268.496552,276.01535,4.327355,0.002625
11/25/06,0,268.617065,274.528351,2.757025,0.002608
11/26/06,0,268.930542,274.136414,0.890803,0.002464
11/27/06,2.356468,271.210632,275.082886,1.583643,0.003032
11/28/06,7.314066,272.28479,275.521973,3.786685,0.003492
11/29/06,0.145242,270.248657,277.11264,2.62916,0.003202
11/30/06,1.058002,275.055328,287.279968,3.898603,0.004123
12/1/06,0.082737,277.281158,284.944611,3.133333,0.004355
12/2/06,2.36342,280.523041,288.177185,3.725628,0.005282
12/3/06,0,274.931549,287.912598,3.170139,0.004761
12/4/06,0.108189,276.117859,287.434723,5.194047,0.004522
12/5/06,0.391502,279.700409,289.799561,3.907297,0.005221
12/6/06,1.402312,281.137726,287.864563,3.6952,0.004754
12/7/06,2.732303,280.912231,287.844269,5.480001,0.005643
12/8/06,0.243799,273.704865,288.569641,3.951186,0.003937
12/9/06,0,270.76416,275.976532,5.870435,0.00281
12/10/06,0,270.764954,275.926147,4.039236,0.002988
12/11/06,0.881843,272.443939,282.595215,2.349393,0.003921
12/12/06,0.986459,270.436615,279.341248,6.0756,0.002655
12/13/06,1.246466,262.6138,273.319275,5.535435,0.001719
12/14/06,0.193079,261.625793,272.303864,4.759489,0.001382
12/15/06,0.051634,266.655853,272.839905,2.598537,0.001708
12/16/06,0,265.8237,273.813873,3.090886,0.001344
12/17/06,0.714268,272.134583,278.487427,5.556337,0.00286
12/18/06,0.220603,275.378601,281.832001,5.816876,0.003641
12/19/06,0.26739,271.827271,277.845276,6.521597,0.002557
12/20/06,0,268.342194,273.766663,2.157397,0.00223
12/21/06,9.589499,269.855896,274.934875,5.583189,0.003051
12/22/06,2.75446,272.221313,275.778412,2.048777,0.003521
12/23/06,0.72359,270.392365,276.216339,2.164994,0.00289
12/24/06,0.553605,272.398956,276.059357,3.77381,0.002839
12/25/06,0.116045,266.066986,275.762665,4.361467,0.002554
12/26/06,0.199348,263.953674,272.901978,1.407312,0.001972
12/27/06,0.815973,267.779907,273.733093,2.160833,0.002247
12/28/06,4.448971,268.613495,272.948669,2.912787,0.00298
12/29/06,6.157562,268.206177,273.78949,3.120309,0.003331
12/30/06,3.756624,264.179688,270.475555,4.837659,0.002237
12/31/06,0.152907,263.641327,268.74939,2.768691,0.001771
1/1/07,0.703251,266.48587,270.663879,2.659497,0.001824
1/2/07,0.476641,262.309875,269.292999,4.227149,0.001677
1/3/07,0,257.207855,266.290863,2.524981,0.001146
1/4/07,0.174176,262.38504,270.571869,3.378378,0.001726
1/5/07,0.402032,260.210327,268.76712,4.646496,0.001658
1/6/07,0.80278,262.87973,270.247406,1.848935,0.001656
1/7/07,0.789534,260.745667,270.230286,2.16234,0.00162
1/8/07,1.232309,263.07196,269.835419,2.742243,0.001732
1/9/07,1.042788,263.695923,271.334045,4.35892,0.001845
1/10/07,0.83232,265.196045,272.323273,4.236016,0.001874
1/11/07,0.2596,263.631073,270.21701,3.12589,0.001648
1/12/07,0.112738,262.201477,269.417358,2.471801,0.001524
1/13/07,0,260.001404,271.718018,3.259829,0.001684
1/14/07,0,264.576355,274.301331,4.651096,0.00187
1/15/07,2.162005,261.262665,272.176697,5.121755,0.00198
1/16/07,1.080729,259.618073,269.807068,7.887442,0.001354
1/17/07,1.619945,264.344971,266.382202,8.11046,0.001637
1/18/07,0.657394,265.925446,269.723358,5.556564,0.001454
1/19/07,0.145778,263.851288,270.444397,4.635641,0.001378
1/20/07,0,263.033813,271.282349,0.4002,0.001154
1/21/07,4.212699,267.379913,278.233429,4.759158,0.002182
1/22/07,1.804382,274.992889,281.942291,3.403951,0.004225
1/23/07,0.773756,272.45639,280.150513,2.205033,0.00405
1/24/07,5.778641,271.567566,278.351746,2.605751,0.003827
1/25/07,1.816439,267.669647,273.93866,8.824351,0.002509
1/26/07,0.549452,263.482513,269.886993,7.169348,0.001438
1/27/07,3.545984,264.660309,279.564911,3.797065,0.002476
1/28/07,0.70534,276.471466,283.443054,1.644247,0.003785
1/29/07,1.377281,274.011475,281.360779,3.258352,0.004093
1/30/07,0,282.764404,291.003754,3.895479,0.004631
1/31/07,5.488942,278.997528,288.19986,5.925704,0.004847
2/1/07,3.374856,287.075043,290.8638,4.605517,0.005699
2/2/07,1.855117,276.886597,290.574554,4.76217,0.004665
2/3/07,1.454349,275.697113,280.668304,4.564902,0.00334
2/4/07,0.10389,271.456146,278.062134,5.31075,0.00255
2/5/07,0,270.829468,277.725922,3.034298,0.0024
2/6/07,1.100003,270.995483,277.741302,2.598239,0.002227
2/7/07,2.236382,273.030212,277.797333,2.524258,0.002506
2/8/07,0.217638,269.120361,276.088623,4.603137,0.002252
2/9/07,0.42655,270.576324,282.903503,4.726659,0.0036
2/10/07,0,268.982727,287.913452,5.539117,0.002641
2/11/07,2.219101,262.383881,273.576599,6.890883,0.001197
2/12/07,0,258.070129,268.873688,5.554232,0.000584
2/13/07,0,262.043793,273.439789,3.751477,0.001282
2/14/07,0,270.750824,279.317902,5.304264,0.002431
2/15/07,4.816308,271.989349,279.167206,2.17144,0.003498
2/16/07,0,265.048828,273.512787,3.159964,0.001981
2/17/07,0,264.403137,276.753052,0.626086,0.002078
2/18/07,0,269.958771,277.762573,2.484692,0.002572
